position,salary,hours,years,type_job,salary_millions,Salary_per_hour,year_cut_in_10
PROFESOR ASOCIADO                      ,578061.6,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.5780616,13303.329620458248,10 años
TECNICO ESPECIALIZADO D,1151037.0,Full time,9,ADMINISTRATIVO,1.151037,6622.401754563613,10 años
PROFESOR INTERINO LICENCIADO           ,1500905.0,Full time,9,PUESTO NO ADMINISTRATIVO ,1.500905,8635.340050261895,10 años
TECNICO ESPECIALIZADO D,1076814.0,Full time,8,ADMINISTRATIVO,1.076814,6195.365503401423,10 años
TECNICO ESPECIALIZADO D,1244257.0,Full time,9,ADMINISTRATIVO,1.244257,7158.7357660336365,10 años
PROFESOR INSTRUCTOR                    ,456304.25,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.45630425,10501.243889865691,10 años
PROFESOR INTERINO LICENCIADO           ,943380.15,7/8 of time,5,PUESTO NO ADMINISTRATIVO ,0.94338015,6203.044842500891,10 años
PROFESOR INTERINO LICENCIADO           ,221490.9,3/8 of time,2,PUESTO NO ADMINISTRATIVO ,0.2214909,3398.2150583166863,10 años
TECNICO ESPECIALIZADO B,717207.0,Full time,5,ADMINISTRATIVO,0.717207,4126.394629525641,10 años
PROFESIONAL A,1262625.0,Full time,9,ADMINISTRATIVO,1.262625,7264.414623818247,10 años
TECNICO ESPECIALIZADO B,374989.5,Part Time,4,ADMINISTRATIVO,0.3749895,4314.945779749794,10 años
TRABAJADOR OPERATIVO B,874610.0,Full time,9,ADMINISTRATIVO,0.87461,5032.000533917574,10 años
PROFESIONAL B,1648588.0,Full time,9,ADMINISTRATIVO,1.648588,9485.0226914969,10 años
TECNICO ESPECIALIZADO D,1244257.0,Full time,9,ADMINISTRATIVO,1.244257,7158.7357660336365,10 años
PROFESIONAL B,1134505.0,Full time,5,ADMINISTRATIVO,1.134505,6527.286179819756,10 años
TRABAJADOR OPERATIVO C,821234.0,Full time,9,ADMINISTRATIVO,0.821234,4724.905874013863,10 años
TRABAJADOR OPERATIVO B,750973.0,Full time,8,ADMINISTRATIVO,0.750973,4320.6646813524685,10 años
TECNICO ESPECIALIZADO B,913699.0,Full time,7,ADMINISTRATIVO,0.913699,5256.896051771593,10 años
PROFESOR INTERINO LICENCIADO           ,321834.0,1/4 of  time,9,PUESTO NO ADMINISTRATIVO ,0.321834,7406.587438208246,10 años
TECNICO ASISTENCIAL A,912392.0,Full time,9,ADMINISTRATIVO,0.912392,5249.376329040513,10 años
TECNICO ESPECIALIZADO B,717207.0,Full time,4,ADMINISTRATIVO,0.717207,4126.394629525641,10 años
TRABAJADOR OPERATIVO C,1289151.0,Full time,9,ADMINISTRATIVO,1.289151,7417.0298993841525,10 años
PROFESOR INTERINO LICENCIADO           ,728235.35,7/8 of time,3,PUESTO NO ADMINISTRATIVO ,0.72823535,4788.394722895463,10 años
TECNICO ASISTENCIAL B,969877.0,Full time,9,ADMINISTRATIVO,0.969877,5580.111800498936,10 años
PROFESOR INTERINO LICENCIADO           ,886470.1,Full time,7,PUESTO NO ADMINISTRATIVO ,0.8864700999999999,5100.236695786653,10 años
TRABAJADOR OPERATIVO C,1331543.0,Full time,9,ADMINISTRATIVO,1.331543,7660.928970551683,10 años
DIRECTOR,2694000.0,Full time,9,PUESTO NO ADMINISTRATIVO ,2.694,15499.719232999787,10 años
PROFESOR INSTRUCTOR                    ,182486.55,1/8  of time,9,PUESTO NO ADMINISTRATIVO ,0.18248655,8399.377249588053,10 años
TRABAJADOR OPERATIVO C,821234.0,Full time,9,ADMINISTRATIVO,0.821234,4724.905874013863,10 años
TRABAJADOR OPERATIVO C,1219781.0,Full time,9,ADMINISTRATIVO,1.219781,7017.915005845476,10 años
TRABAJADOR OPERATIVO C,1219781.0,Full time,9,ADMINISTRATIVO,1.219781,7017.915005845476,10 años
TECNICO ASISTENCIAL B,997197.0,Full time,9,ADMINISTRATIVO,0.997197,5737.295293240419,10 años
TECNICO ASISTENCIAL A,847412.0,Full time,9,ADMINISTRATIVO,0.847412,4875.51895867662,10 años
PROFESOR INTERINO LICENCIADO           ,563795.1,3/4 of time,1,PUESTO NO ADMINISTRATIVO ,0.5637951,4325.0016109581975,10 años
PROFESIONAL A,684113.5,Part Time,9,ADMINISTRATIVO,0.6841135,7871.987508169858,10 años
TECNICO ESPECIALIZADO D,1159034.0,Full time,9,ADMINISTRATIVO,1.159034,6668.411871381097,10 años
TECNICO ESPECIALIZADO C,1099706.0,Full time,9,ADMINISTRATIVO,1.099706,6327.072842926972,10 años
PROFESIONAL B,1920829.0,Full time,9,ADMINISTRATIVO,1.920829,11051.340087083798,10 años
